number,base_fee_per_gas
14687720,32945530753
14687721,30160660823
14687722,33925976528
14687723,38163693438
14687724,42931837627
14687725,41443073607
14687726,41156640840
14687727,45242729418
14687728,45811200050
14687729,51529958366
14687730,57965817851
14687731,53359836498
14687732,49938444247
14687733,56175432780
14687734,63196442397
14687735,67518396580
14687736,64759320267
14687737,58395748628
14687738,51561902351
14687739,54686753233
14687740,48495314295
14687741,54521942178
14687742,56438450296
14687743,57068715205
14687744,51109986143
14687745,57498454157
14687746,64678808472
14687747,63680196236
14687748,59273586092
14687749,65387275195
14687750,64041026395
14687751,66237958074
14687752,58667693052
14687753,53988392077
14687754,49060421179
14687755,50328319079
14687756,51446367720
14687757,51319767641
14687758,46901480374
14687759,48740957215
14687760,52360644908
14687761,58903261078
14687762,57906582068
14687763,54745754182
14687764,49807392154
14687765,46078837182
14687766,40318982535
14687767,45354070823
14687768,51022820834
14687769,52952357102
14687770,47231300159
14687771,52995087778
14687772,48417295397
14687773,54468625355
14687774,56012998800
14687775,49475116770
14687776,50459632957
14687777,44152178838
14687778,43202443434
14687779,40242252010
14687780,37915894371
14687781,42019695605
14687782,36767233655
14687783,34214786727
14687784,34057329709
14687785,35881571976
14687786,40311353261
14687787,36092016656
14687788,33825633509
14687789,36305877830
14687790,34943066515
14687791,34140207048
14687792,31519920837
14687793,29366869758
14687794,27365810609
14687795,24904517061
14687796,28016710450
14687797,27889053957
14687798,31372633618
14687799,35290971211
14687800,39701277999
14687801,44659051033
14687802,41476024082
14687803,40830952319
14687804,41226802277
14687805,38855957099
14687806,43636393520
14687807,40140781911
14687808,37565448630
14687809,36199385161
14687810,40718654565
14687811,36557491742
14687812,35483668431
14687813,39090767357
14687814,39174778706
14687815,41593604850
14687816,46485222312
14687817,47401803497
14687818,49764516378
14687819,45104344369
14687820,50739038530
14687821,55948120271
14687822,57569246894
14687823,51928542041
14687824,53900034824
14687825,53423393223
14687826,46745469071
14687827,46744832007
14687828,47966531563
14687829,46252417322
14687830,45011823832
14687831,42993337819
14687832,38587970285
14687833,33815177307
14687834,38041209364
14687835,41721608241
14687836,36506407211
14687837,31943106310
14687838,29642166883
14687839,33299863794
14687840,30882963787
14687841,29082275640
14687842,25603572710
14687843,28803148775
14687844,32402165341
14687845,32417105439
14687846,36468258679
14687847,41020530289
14687848,40386350331
14687849,43585980757
14687850,41095472639
14687851,38723815243
14687852,41147944148
14687853,40588573852
14687854,37515744839
14687855,42093283655
14687856,40106571518
14687857,45119617827
14687858,42645015468
14687859,47973630622
14687860,53968435349
14687861,58486738418
14687862,54417102001
14687863,50650963300
14687864,47788438039
14687865,45749149678
14687866,44040272922
14687867,40304782425
14687868,40098359131
14687869,38216171277
14687870,42987402612
14687871,46468531431
14687872,42046964312
14687873,45958644559
14687874,44294844996
14687875,49827649853
14687876,49341179186
14687877,43363875692
14687878,43869543402
14687879,49347952606
14687880,54296085384
14687881,49773633217
14687882,49999966441
14687883,44804371595
14687884,50206742814
14687885,56020423393
14687886,59734360384
14687887,52267565336
14687888,51589460408
14687889,58037505828
14687890,65290286483
14687891,60837076624
14687892,58858079982
14687893,55750097774
14687894,55854461125
14687895,56826667133
14687896,60328477899
14687897,58336961004
14687898,58988677225
14687899,54228588375
14687900,50942271749
14687901,47319641148
14687902,44017165931
14687903,40362212296
14687904,40913919676
14687905,40497787268
14687906,41578274133
14687907,38452678857
14687908,43187902694
14687909,38669554117
14687910,38600662319
14687911,43425212666
14687912,44903804147
14687913,41715308359
14687914,39088287728
14687915,35850671263
14687916,36713191496
14687917,33243500353
14687918,31916106344
14687919,35904984502
14687920,31416861440
14687921,35341554210
14687922,39758612600
14687923,35529667921
14687924,39968154542
14687925,43076815651
14687926,48454363128
14687927,52953217091
14687928,51674509866
14687929,53640743052
14687930,48696890616
14687931,47734939393
14687932,41768071969
14687933,46988443652
14687934,51328857036
14687935,46226056153
14687936,50733567332
14687937,44876428688
14687938,50480739949
14687939,56784354922
14687940,56928071392
14687941,52559028827
14687942,55429759595
14687943,56661599623
14687944,51502943532
14687945,48393258995
14687946,44014506260
14687947,49513991247
14687948,51711976870
14687949,58174526474
14687950,65436685311
14687951,63909603184
14687952,60017170257
14687953,62448252263
14687954,66494618512
14687955,63612202586
14687956,57218082097
14687957,59251052747
14687958,58528652063
14687959,57862588275
14687960,65083984408
14687961,65293932180
14687962,67666800462
14687963,59469511740
14687964,56163431673
14687965,63176221929
14687966,71070679851
14687967,64049395954
14687968,72048598671
14687969,70795960534
14687970,63030439529
14687971,55151634588
14687972,58200798294
14687973,58554490695
14687974,65548658545
14687975,61514392184
14687976,54957999773
14687977,57965889291
14687978,51180955865
14687979,53876182715
14687980,48862682909
14687981,45383907605
14687982,51051991189
14687983,54016391424
14687984,53992116008
14687985,60737510852
14687986,67003004465
14687987,70828835818
14687988,69446784618
14687989,75581830473
14687990,85028081657
14687991,88432005181
14687992,79468020546
14687993,75362740352
14687994,68617332963
14687995,77193794656
14687996,75988594396
14687997,80164472806
14687998,73282213251
14687999,72562346193
14688000,77676869244
14688001,74254789987
14688002,83534238578
14688003,82694685140
14688004,93020588862
14688005,83432373064
14688006,81117584972
14688007,73523783887
14688008,69717202101
14688009,63192391815
14688010,64564530178
14688011,70458576614
14688012,72368487855
14688013,70396005126
14688014,79137631983
14688015,71568290268
14688016,73016183827
14688017,64532042184
14688018,66999745326
14688019,68141018491
14688020,63573492657
14688021,61880879700
14688022,61069135580
14688023,56131343295
14688024,53165480524
14688025,54747697990
14688026,58576999705
14688027,65893361919
14688028,62888944748
14688029,70719245162
14688030,72470507672
14688031,69491412388
14688032,61748582511
14688033,54555667147
14688034,57843748117
14688035,52137781685
14688036,51830597320
14688037,56814048351
14688038,54967552153
14688039,48490870625
14688040,54549073909
14688041,61362703383
14688042,63987420300
14688043,71981588408
14688044,75685964895
14688045,66529240975
14688046,60342781661
14688047,67883647108
14688048,76363944916
14688049,70987958831
14688050,63946466318
14688051,68305058332
14688052,62079225742
14688053,69833432145
14688054,78557840375
14688055,72904246674
14688056,75827519709
14688057,69715709126
14688058,72546467855
14688059,68625578530
14688060,63112162941
14688061,55305359314
14688062,61918164156
14688063,61300520149
14688064,54669923335
14688065,48149021988
14688066,45328498022
14688067,50928183866
14688068,57288766446
14688069,52908953364
14688070,56640372482
14688071,59154477649
14688072,55537759576
14688073,62476698131
14688074,70283139594
14688075,65685408128
14688076,62642224967
14688077,60332481051
14688078,53015969231
14688079,50782208772
14688080,57113774341
14688081,51379984035
14688082,49872822851
14688083,45478287794
14688084,50089639407
14688085,56306465702
14688086,59331861841
14688087,56055945054
14688088,50556766249
14688089,55155158200
14688090,50125163097
