height,basefee
14801331,18340588464
14801332,20347550630
14801333,18857818242
14801334,21214566376
14801335,23864142671
14801336,24392614309
14801337,26481172350
14801338,25667337654
14801339,24726691950
14801340,21635855457
14801341,21126592017
14801342,23184874155
14801343,24414491297
14801344,24264668530
14801345,25455369583
14801346,25926712448
14801347,24538902247
14801348,22231720859
14801349,24656188764
14801350,22973762834
14801351,20396056868
14801352,19005809622
14801353,17338434930
14801354,19504483992
14801355,21939390290
14801356,20042389757
14801357,21904153062
14801358,21342258044
14801359,20201121322
14801360,21782360612
14801361,19975711975
14801362,19000402499
14801363,19305396009
14801364,17578070987
14801365,16016313140
14801366,18017722440
14801367,17142942947
14801368,19284961982
14801369,17719431575
14801370,18300719742
14801371,17029440067
14801372,15365171651
14801373,16441454610
14801374,15060196174
14801375,16836348217
14801376,15177648358
14801377,16710516840
14801378,17485853995
14801379,18946400189
14801380,21313507215
14801381,21128718575
14801382,23768635137
14801383,21494027857
14801384,21369545733
14801385,20267281058
14801386,20968025509
14801387,19718071385
14801388,22180764182
14801389,24952441790
14801390,28071004410
14801391,31579602723
14801392,32393033520
14801393,30080774787
14801394,30356581260
14801395,27455358594
14801396,25503019113
14801397,25877926883
14801398,25102253061
14801399,22027676810
14801400,21071533411
14801401,20412914539
14801402,22962909482
14801403,25832122532
14801404,25245044279
14801405,23971000848
14801406,21239003509
14801407,19660723247
14801408,20873313603
14801409,21738100029
14801410,19587996330
14801411,21559410306
14801412,19191776887
14801413,17974166598
14801414,19365002666
14801415,21784345390
14801416,21719581984
14801417,23418357447
14801418,26342852460
14801419,29578085125
14801420,33271303677
14801421,32288583459
14801422,36323357236
14801423,35844319958
14801424,31775768902
14801425,34961618878
14801426,33812989183
14801427,30230269670
14801428,29329992086
14801429,29334231491
14801430,28791886041
14801431,25794862805
14801432,29015168624
14801433,32641148209
14801434,35146162258
14801435,31612444864
14801436,29741444712
14801437,30288603691
14801438,28727805289
14801439,25263356992
14801440,26609834958
14801441,24607118076
14801442,23552988099
14801443,25117959181
14801444,26176508043
14801445,27599743981
14801446,27576965817
14801447,24447856898
14801448,22211161695
14801449,20834003592
14801450,23316801847
14801451,24238973282
14801452,22527959106
14801453,23056560207
14801454,20269200959
14801455,21932084178
14801456,21395398829
14801457,19345489621
14801458,18565132873
14801459,19018454430
14801460,20429768605
14801461,19613512979
14801462,17727307239
14801463,19940867866
14801464,21065037947
14801465,19318756483
14801466,21733092651
14801467,19016456070
14801468,17710048675
14801469,19922827243
14801470,22413096476
14801471,21283899864
14801472,19739770860
14801473,17963897144
14801474,20208673436
14801475,22438998142
14801476,21403782968
14801477,23291630289
14801478,21364832140
14801479,21596175357
